# English-French translations created from the Universal dictionary at 2011-05-28T05:42:42-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 brusque ; brusk ; curt ; short 	 brusque 	 adjective 
 building ; edifice 	 immeuble 	 city 
 bulk ; mass ; volume 	 masse 	 physics 
 bus ; autobus ; coach ; charabanc ; double-decker ; jitney ; motorbus ; motorcoach ; omnibus ; passenger vehicle 	 autocar 	 transport 
 business ; concern ; business concern ; business organization ; business organisation 	 affaire 	 business 
 businessman ; man of affairs 	 négociant 	 profession 
 butter 	 beurre 	 food 
 buy ; purchase 	 acheter 	 verb 
 by ; past 	 par 	 adverb 
 by and large ; generally ; more often than not ; mostly 	 généralement 	 adverb 
 cake 	 gâteau 	 food 
 calculator ; reckoner ; figurer ; estimator ; computer 	 calculateur 	 device 
 calendar month ; month 	 mois 	 time 
 call ; phone call ; telephone call 	 communication 	 communication 
 call ; telephone ; call up ; phone ; ring 	 téléphoner 	 verb 
 camera ; photographic camera 	 caméra 	 object 
 campaign ; cause ; crusade ; drive ; movement ; effort 	 campagne 	 abstract 
 can ; tin ; tin can 	 boîte 	 object 
 capital 	 capitale 	 society 
 capital ; capital letter ; uppercase ; upper-case letter ; majuscule 	 majuscule 	 linguistics 
 capital ; working capital 	 capital 	 business 
 car ; auto ; automobile ; machine ; motorcar 	 automobile 	 transport 
 carbohydrate ; saccharide ; sugar 	 sucre 	 food 
 card 	 carte 	 object 
 cardinal ; central ; fundamental ; key ; primal 	 central 	 adjective 
 care ; attention ; aid ; tending 	 souci 	 abstract 
 case ; instance ; example 	 affaire 	 abstract 
 castle 	 château 	 city 
 cat ; true cat 	 chat 	 animal 
 catch ; grab ; take hold of 	 prendre 	 verb 
 cause 	 cause 	 abstract 
 cell 	 cellule 	 anatomy 
 cell ; jail cell ; prison cell 	 cellule 	 society 
 cellular telephone ; cellular phone ; cellphone ; cell ; mobile phone 	 téléphone cellulaire 	 device 
 center ; centre ; middle ; heart ; eye 	 milieu 	 mathematics 
 center ; centre ; midpoint 	 centre 	 mathematics 
 central 	 central 	 adjective 
 central ; telephone exchange ; exchange 	 central 	 society 
 century 	 siècle 	 time 
 certain ; sure 	 certain 	 adjective 
 chain 	 chaîne 	 object 
 chair 	 chaise 	 house 
 championship ; title 	 championnat 	 sports 
 change 	 monnaie 	 business 
 change ; alter ; modify 	 changer 	 verb 
 change ; alteration ; modification 	 changement 	 abstract 
 character ; grapheme ; graphic symbol 	 caractère 	 linguistics 
 charge 	 prix 	 business 
 charge ; accuse 	 accuser 	 verb 
 charge ; bill 	 facturer 	 verb 
 charge ; complaint 	 accusation 	 society 
 charge ; electric charge 	 charge 	 nature 
 cheap ; inexpensive 	 économique 	 adjective 
 check ; bank check ; cheque 	 chèque 	 business 
 cheese 	 fromage 	 food 
 chemical ; chemic 	 chimique 	 adjective 
 chemical ; chemical substance 	 chimique 	 material 
 chemical element ; element 	 élément chimique 	 material 
 chemistry ; chemical science 	 chimie 	 science 
 chest 	 coffre 	 object 
 chief ; main ; primary ; principal ; master 	 majeur 	 adjective 
 child ; kid ; youngster ; minor ; shaver ; nipper ; small fry ; tiddler ; tike ; tyke ; fry ; nestling 	 enfant 	 family 
 chin ; mentum 	 menton 	 anatomy 
 chocolate 	 chocolat 	 food 
