# French-English translations created from the Universal dictionary at 2011-05-28T05:46:15-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 châtiment 	 punishment ; penalty ; penalization ; penalisation 	 society 
 chèque 	 check ; bank check ; cheque 	 business 
 chèvre 	 goat ; caprine animal 	 animal 
 chérie 	 beloved ; dear ; dearest ; honey ; love 	 relations 
 chômeur 	 unemployed 	 adjective 
 ciel 	 sky 	 nature 
 cinq 	 five ; 5 ; v 	 number 
 cinquante 	 fifty ; 50 ; l 	 number 
 cinquième 	 fifth ; 5th 	 number 
 cinéma 	 cinema ; movie theater ; movie theatre ; movie house ; picture palace 	 city 
 cirer 	 polish ; smooth ; smoothen ; shine 	 verb 
 ciseaux 	 scissors ; pair of scissors 	 object 
 citer 	 mention ; advert ; bring up ; cite ; name ; refer 	 verb 
 clair 	 bright ; brilliant ; vivid 	 adjective 
 clair 	 clear 	 adjective 
 clairsemé 	 sparse ; thin 	 adjective 
 clandestin 	 clandestine ; cloak-and-dagger ; hole-and-corner ; hugger-mugger ; hush-hush ; secret ; surreptitious ; undercover ; underground 	 adjective 
 classe 	 class ; form ; grade ; course 	 art 
 classer 	 classify ; class ; sort ; assort ; sort out ; separate 	 verb 
 clayette 	 shelf 	 house 
 clientèle 	 practice 	 art 
 cloche 	 bell 	 object 
 clore 	 close ; shut 	 verb 
 clou 	 nail 	 object 
 club 	 club ; social club ; society ; guild ; gild ; lodge ; order 	 society 
 clé 	 key 	 house 
 coeur 	 heart ; pump ; ticker 	 anatomy 
 coffre 	 chest 	 object 
 coffre 	 safe 	 object 
 col 	 collar ; neckband 	 clothes 
 collant 	 gluey ; glutinous ; gummy ; mucilaginous ; pasty ; sticky ; viscid ; viscous 	 adjective 
 colle 	 glue ; gum ; mucilage 	 material 
 collection 	 set 	 sports 
 coller 	 glue ; paste 	 verb 
 colline 	 hill 	 nature 
