# Esperanto-German translations created from the Universal dictionary at 2011-08-27T09:41:46-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 defii 	 trotzen 	 verb 
 dek 	 zehn 	 number 
 deka 	 zehnte 	 number 
 dekdua 	 zwölfte 	 number 
 deklivo 	 Hang ; Steigung 	 mathematics 
 dekoro 	 Verzierung 	 object 
 dekstra 	 recht ; rechts 	 adjective 
 delikata 	 zart ; zierlich 	 adjective 
 demando 	 Abfrage ; Erkundigung ; Frage 	 linguistics 
 dento 	 Zahn 	 anatomy 
 depago 	 Gebühr 	 business 
 desegni 	 malen ; zeichnen 	 verb 
 desegno 	 Muster ; Vorbild ; Vorlage 	 object 
 detalo 	 Einzelheit 	 logistics 
 detruo 	 Vernichtung 	 abstract 
 devio 	 Abweichung 	 mathematics 
 devo 	 Pflicht ; Verpflichtung 	 abstract 
 deziri 	 wünschen 	 verb 
 deziro 	 Wunsch 	 abstract 
 difekti 	 beschädigen 	 verb 
 diferenca 	 anders ; ungleich 	 adjective 
 diferenco 	 Unterschied 	 abstract 
 dika 	 dick ; gras 	 adjective 
 dika 	 dick ; stark 	 adjective 
 dikfingro 	 Daumen 	 anatomy 
 dimancxo 	 Sonntag 	 time 
 direkto 	 Richtung 	 mathematics 
 direktoro 	 Direktor ; Verwalter ; leitender Verwaltungsangestellter 	 profession 
 diri 	 sagen ; erzählen 	 verb 
 disciplino 	 Disziplin 	 linguistics 
 diskuti 	 debattieren ; bereden ; besprechen ; diskutieren 	 verb 
 diskuto 	 Diskussion 	 communication 
 dispremi 	 zerdrücken ; zerquetschen 	 verb 
 disputi 	 streiten ; sich streiten 	 verb 
 disputo 	 Streit ; Kontroverse ; Anfechtung ; Auseinandersetzung 	 mathematics 
 distanco 	 Abstand ; Distanz ; Entfernung 	 mathematics 
 distraĵo 	 Unterhaltung ; Belustigung ; Vergnügung 	 art 
 diversa 	 verschieden 	 adjective 
 diverseco 	 Diversität ; Verschiedenheit ; Vielfalt 	 art 
 divido 	 Segmentierung ; Teilung 	 mathematics 
 divizio 	 Abteilung 	 mathematics 
 do 	 also ; daher 	 adverb 
 doktoro 	 Arzt ; Doktor 	 profession 
 dolcxa 	 süß 	 adjective 
 doloro 	 Schmerz 	 medicine 
 dolĉeco 	 Süßigkeit 	 food 
 domo 	 Bau ; Bauwerk ; Gebäude 	 city 
 domo 	 Domizil ; Wohnsitz ; Wohnung 	 house 
 domo 	 Haus 	 house 
 donaco 	 Geschenk 	 object 
 doni 	 geben 	 verb 
 dormado 	 Schlaf ; Schlummer 	 nature 
 dormcxambro 	 Schlafzimmer 	 house 
 dorso 	 Rücken 	 anatomy 
 drato 	 Draht 	 object 
 du 	 zwei 	 number 
 dua 	 zweite 	 adjective 
