# Russian-Esperanto translations created from the Universal dictionary at 2011-08-27T09:42:20-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 копировать 	 kopii 	 verb 
 копить 	 ŝpari 	 verb 
 копия 	 kopio 	 object 
 коптить 	 fumi 	 verb 
 корень 	 radiko 	 mathematics 
 корень 	 radiko 	 nature 
 корзина 	 korbo 	 object 
 коричневый 	 bruna 	 color 
 коробка 	 kesteto 	 object 
 корова 	 bovino 	 animal 
 королевский 	 regxa 	 adjective 
 король 	 regxo 	 society 
 короткий 	 kurta 	 adjective 
 космос 	 kosmo 	 mathematics 
 кость 	 osto 	 anatomy 
 кот ; кошка 	 kato 	 animal 
 который 	 kio 	 pronoun 
 кофе 	 kafo 	 food 
 красивый 	 bela 	 adjective 
 красивый ; хороший 	 beleta 	 adjective 
 краска 	 farbo 	 art 
 краска 	 koloroj 	 art 
 красный 	 rugxa 	 color 
 красть ; воровать 	 sxteli 	 verb 
 кривая ; дуга 	 kurbo 	 art 
 крик ; возглас 	 voko 	 communication 
 критерий 	 kriterio 	 communication 
 кричать 	 kriegi 	 verb 
 кровать ; постель 	 lito 	 house 
 кровь 	 sango 	 anatomy 
 кромка ; край 	 eĝo 	 mathematics 
 круг 	 bobeno 	 object 
 круг 	 rondo 	 mathematics 
 круглый 	 cirkla 	 adjective 
 кругом ; вокруг 	 cxirkaux 	 adverb 
 крупный ; большой 	 granda 	 adjective 
 крутой 	 abrupta 	 adjective 
 крыло 	 flugilo 	 anatomy 
 крыша 	 tegmento 	 house 
 крышка 	 kovrilo 	 object 
 крючок 	 krocxilo 	 object 
 кто 	 kiu 	 pronoun 
 кубок 	 pokalo 	 object 
 культура 	 kulturo 	 society 
 купить 	 aĉeti 	 verb 
 курс 	 kurso 	 education 
 куртка ; пиджак 	 jako 	 clothes 
 куснуть 	 mordi 	 verb 
 кусок 	 peco 	 abstract 
 кусок 	 peco 	 object 
 кусок 	 peco 	 object 
 кухня 	 kuirejo 	 house 
 лавка ; магазин 	 vendejo 	 business 
 ларь 	 kesto 	 object 
 лгать 	 mensogi 	 verb 
 лев 	 leono 	 animal 
 левый 	 lefta 	 adjective 
 лежать 	 kusxi 	 verb 
 лезвие 	 klingo 	 object 
 лес 	 arbaro 	 nature 
 летание ; полёт 	 flugo 	 transport 
 летать 	 flugi 	 verb 
 лето 	 somero 	 nature 
 лечебный 	 medicina 	 adjective 
 лечить 	 trakti 	 verb 
 либо 	 cxu 	 conjunction 
 лидер 	 estro 	 society 
 листва 	 folio 	 nature 
 лифт 	 lifto 	 device 
 лицо 	 vizaĝo 	 anatomy 
 лицо ; человек 	 homo 	 family 
 лицо ; человек 	 persono 	 family 
 личный 	 persona 	 adjective 
 лоб ; чело 	 frunto 	 anatomy 
 лодка 	 boato 	 object 
 ложка 	 kulero 	 food 
 ложь 	 mensogo 	 communication 
 лохань 	 lavkuvo 	 house 
 лошадь ; конь 	 cxevalo 	 animal 
 лучше 	 prefere 	 adverb 
 любезный 	 afabla 	 adjective 
 любить 	 ami 	 verb 
 любовь 	 amo 	 relations 
 любой 	 ajna 	 adjective 
 лягнуть 	 kiki 	 verb 
 лёгкий 	 facila 	 adjective 
 лёгкий 	 malpeza 	 adjective 
 лёд 	 glacio 	 material 
 лёд 	 glacio 	 nature 
 маленький 	 malgranda 	 adjective 
 малый 	 bagatela 	 adjective 
 малый 	 eta 	 adjective 
 мальчик ; парень 	 knabo 	 family 
 мамочка 	 patrino 	 family 
 марка 	 marko 	 abstract 
 масло 	 butero 	 food 
 масло 	 oleo 	 material 
 масса 	 maso 	 physics 
 материал 	 materialo 	 material 
 материальный 	 materia 	 adjective 
