# Russian-German translations created from the Universal dictionary at 2011-08-27T09:42:10-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 диапазон 	 Reichweite ; Rahmen ; Bereich ; Geltungsbereich ; Umfang 	 abstract 
 диетический 	 diät ; kalorienarm ; leicht 	 adjective 
 директор 	 Direktor ; Verwalter ; leitender Verwaltungsangestellter 	 profession 
 дискутировать 	 debattieren ; bereden ; besprechen ; diskutieren 	 verb 
 диспут ; прения ; беседа 	 Diskussion 	 communication 
 дисциплина 	 Disziplin 	 linguistics 
 длинный 	 lang 	 adjective 
 длинный 	 lang 	 adjective 
 до 	 bis 	 conjunction 
 добро 	 Gute 	 abstract 
 довольно 	 genug 	 adverb 
 дождить ; идёт дождь 	 regnen 	 verb 
 дождь 	 Regen 	 nature 
 дождь 	 Regen 	 nature 
 доказать 	 beweisen 	 verb 
 дом 	 Domizil ; Wohnsitz ; Wohnung 	 house 
 дом 	 Haus 	 house 
 дополнение 	 Ergänzung ; Zugabe 	 abstract 
 дорога ; путь 	 Straße ; Strecke ; Weg 	 transport 
 дорогой ; дорогая 	 Liebling 	 relations 
 доска 	 Brett 	 object 
 доставить 	 transportieren 	 verb 
 достигать 	 erreichen ; erzielen 	 verb 
 достичь 	 erreichen ; eintreffen 	 verb 
 доступный 	 vorhanden 	 adjective 
 досягаемость 	 Reichweite 	 abstract 
 дочь 	 Tochter 	 family 
 драгоценность 	 Edelstein ; Juwel ; Kleinod 	 object 
 драться 	 kämpfen ; ringen ; sich prügeln ; sich schlagen 	 verb 
 дрессировать 	 trainieren ; schulen 	 verb 
 дрожание 	 Zittern 	 abstract 
 друг 	 Freund ; Freundin 	 family 
 другой 	 ander ; sonstig ; andere ; anders 	 adjective 
 другой 	 andere ; anders 	 adjective 
 другой 	 anders 	 adjective 
 дружеский 	 freundlich 	 adjective 
 дубинка 	 Keule ; Knüppel 	 object 
 думать 	 vorhaben 	 verb 
 душ 	 Dusche 	 house 
 дым 	 Dunst ; Qualm ; Rauch 	 nature 
 дыра 	 Höhle 	 abstract 
 дыхание 	 Atem ; Atemzug ; Hauch 	 anatomy 
 его 	 ihm 	 pronoun 
 его 	 sein 	 pronoun 
 его 	 seine 	 pronoun 
 единица 	 Einheit 	 mathematics 
 единочный 	 individuell 	 adjective 
 единственный 	 einzeln ; einzelne ; einzig 	 adjective 
 если 	 wenn 	 conjunction 
 есть 	 essen 	 verb 
 её 	 ihr 	 pronoun 
 жаждущий 	 durstig 	 adjective 
 жалкий ; жалобный 	 arm ; armselig ; bedauernswert ; dürftig ; erbärmlich ; kläglich 	 adjective 
 жара 	 Hitze 	 medicine 
 ждать 	 erwarten ; entgegensehen 	 verb 
 ждать 	 warten 	 verb 
 желание 	 Wunsch 	 abstract 
 железо 	 Eisen 	 material 
 желудок 	 Magen 	 anatomy 
 жена 	 Ehefrau ; Frau ; Gemahlin 	 family 
 женатый 	 verheiratet 	 adjective 
 жениться 	 heiraten 	 verb 
 женский 	 weiblich 	 adjective 
 женщина 	 Frau 	 family 
 женщина 	 Frau 	 society 
 жестокий 	 barbarisch 	 adjective 
 живой 	 lebend ; lebendig 	 adjective 
 животное 	 Kreatur ; Tier ; Vieh 	 nature 
 жидкий 	 flüssig 	 adjective 
 жидкость 	 Flüssigkeit 	 nature 
 жизнь 	 Leben 	 nature 
 жизнь 	 Leben 	 time 
 жилище ; дом 	 Heim ; Heimat ; Zuhause ; Eigenheim ; Haus 	 house 
 жир 	 Fett 	 material 
 жирный 	 fettig ; speckig 	 adjective 
 жить 	 leben 	 verb 
